tx_hash,block_time,wallet,blockchain,from_address,to_address,value_wei,value_native,gas_used,gas_price,action,transaction_type,token_address,token_symbol,token_name,value_raw,decimals,amount
0x6645bf8a80fb3b08aaf3fc30418ae51f26014a8e12bd4fc4941f63ea872fb0ea,2021-07-29 00:19:06+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0x05158d7a59fa8ac5007b3c8babaa216568fd32b3,0x28c6c06298d514db089934071355e5743bf21d60,10000000000000000,0.01,,2321605802,native_transfer,deposit,,,,,,
0x6c1ca6ef4485dacb1342109ee84b9bfce0e16e51971921ffe752676a157f0440,2022-01-18 15:14:31+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0xa2193ee5868bce89cfd7150c7694d0f3b6efb080,0x28c6c06298d514db089934071355e5743bf21d60,300000000000000000,0.3,,194522831247,native_transfer,deposit,,,,,,
0x0b2e99577678600fd37eb5f094d17c8dbc55de67f8074fc35b62ee3d33b3f562,2022-02-13 19:55:00+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0xa0640c4b9be4462a9482e8da20704d3f1f1ac256,0x28c6c06298d514db089934071355e5743bf21d60,9319316925547615000,9.319316925547614,,18391137446,native_transfer,deposit,,,,,,
0xdd82db1016b9834f3c8094a9eb4c0e879f0ef37bcc2e723fa97e86c964ed8e60,2022-04-12 11:37:15+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0x14ac5b9a58e837ef9248a2bb45f7e0ae44b94830,0x28c6c06298d514db089934071355e5743bf21d60,10000000000000000000,10.0,,32094397540,native_transfer,deposit,,,,,,
0x6b9a4e2e3213f7124241b574fd44382418d31d2b8a3c615d4c8231e2c9837eeb,2022-07-06 19:23:34+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0x27f988b5e8e3ebf7f2b49ffecb751843e9398fe5,0x28c6c06298d514db089934071355e5743bf21d60,1110010000000000,0.00111001,,34982499048,native_transfer,deposit,,,,,,
0x29096a6886f69597696fc65871e653e3dbce845be49cf6932835cb5e9de059b6,2022-07-10 12:14:09+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0x27f988b5e8e3ebf7f2b49ffecb751843e9398fe5,0x28c6c06298d514db089934071355e5743bf21d60,1110010000000000,0.00111001,,30000000015,native_transfer,deposit,,,,,,
0xa4e630ad325894403345de9978551acc23556c3e2031692ddc5d9e6bd1c45bb8,2023-02-25 14:57:09+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,optimism,0xe403a23ef3c63478916620fe4cbd51e292c45a30,0x28c6c06298d514db089934071355e5743bf21d60,10000000000000,1e-05,,1000000,native_transfer,deposit,,,,,,
0xa28296fec0a7b58172b5d3d29f859ab3d05354a6b86401401dd5c340a972e616,2023-04-11 06:26:26+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,arbitrum,0xc38c40098a10b026119b86bffadebabe8c26a7ee,0x28c6c06298d514db089934071355e5743bf21d60,102000000000000000,0.102,,100000000,native_transfer,deposit,,,,,,
0x644b3d3ad8c06b096662f1abbcbae589e563307ecd9408b6478d711f69ad4aea,2023-04-14 06:41:51+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0xd2617f7f2006df5bd36719a75c7d8f2c68b1deb1,0x28c6c06298d514db089934071355e5743bf21d60,0,0.0,,219133728385,native_transfer,deposit,,,,,,
0xc683f22f5cd23057905c029301b89cc94de7fe29840f96f7f36f17ec748272e8,2023-04-14 06:45:21+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0xd2617f7f2006df5bd36719a75c7d8f2c68b1deb1,0x28c6c06298d514db089934071355e5743bf21d60,0,0.0,,149984583018,native_transfer,deposit,,,,,,
0xc42d8ab991f4d0dab507ea6dabbf852a56923bab1c7f97c5f469301943d5ffcb,2023-04-14 13:07:12+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,polygon,0x5ef4bccd21a7943460000b801d00e1b51030277a,0x28c6c06298d514db089934071355e5743bf21d60,0,0.0,,263186665865,native_transfer,deposit,,,,,,
0x3da0a1203e5e39f73725e7d4e45ee6c4652913e971ba0e56a88de374525200ec,2023-05-25 20:43:49+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,arbitrum,0x60a1b38a268861eede05be86ae43206283772593,0x28c6c06298d514db089934071355e5743bf21d60,10000000000000,1e-05,,100000000,native_transfer,deposit,,,,,,
0xe4a03fed00b4d032f80ecd63df5beffb429f0e08b20f95bc7def0e7f4eaaf42c,2023-05-26 11:04:37+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,arbitrum,0x60a1b38a268861eede05be86ae43206283772593,0x28c6c06298d514db089934071355e5743bf21d60,10000000000,1e-08,,100000000,native_transfer,deposit,,,,,,
0xfeeb8bb8c65d06f00065272676a3fc2ffd53c10dcc48ddfbec18c6b3a7412f00,2023-06-05 02:42:04+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,arbitrum,0x7ecfbaa8742fdf5756dac92fbc8b90a19b8815bf,0x28c6c06298d514db089934071355e5743bf21d60,,,,,erc20_transfer,deposit,0x53c388bd81d6cddc4347dbdbe6d7ff7a82c284fd,Visit https://arbinu.fun to claim rewards.,$ Arbinu.fun,92500000000000000000000,18,92500.0
0x4fc0db39e8d054b2334d73558048004bc4a76af739aca1e2272d4be63fc16753,2023-06-06 19:48:48+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,arbitrum,0xb38e8c17e38363af6ebdcb3dae12e0243582891d,0x28c6c06298d514db089934071355e5743bf21d60,,,,,erc20_transfer,deposit,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,Arbitrum,1981000000000000000,18,1.981
0x1258266868675deea63a35c518626c102e32a31767ac7ec5f5da451379111a9a,2023-06-10 02:51:04+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,arbitrum,0x800a649ecf97e1553bd411c106d732d7f04b1759,0x28c6c06298d514db089934071355e5743bf21d60,1000000000000,1e-06,,100000000,native_transfer,deposit,,,,,,
0xda1a9b045ca049e28d3a7b35af701f3fae5d30930a2d68e439820d404d1e5c15,2023-07-16 10:19:53+00:00,0x28C6c06298d514Db089934071355E5743bf21d60,arbitrum,0x9114f145cd929afd89094dc3919ec050dfa92eca,0x28c6c06298d514db089934071355e5743bf21d60,,,,,erc20_transfer,deposit,0xf40deabf38c32deadef13e10b3758ff1fe311933,BABYPEPE,Baby Pepe Coin,95000000000000000000,18,95.0
